name,MaxDepartureDelay
"Horizon Air: QX",364
"Southwest Airlines Co.: WN",648
"Alaska Airlines Inc.: AS",800
"Allegiant Air: G4",952
"Endeavor Air Inc.: 9E",1016
"Hawaiian Airlines Inc.: HA",1055
"Spirit Air Lines: NK",1056
"Delta Air Lines Inc.: DL",1162
"Mesa Airlines Inc.: YV",1185
"Envoy Air: MQ",1268
"Frontier Airlines Inc.: F9",1286
"Republic Airline: YX",1314
"PSA Airlines Inc.: OH",1324
"JetBlue Airways: B6",1437
"United Air Lines Inc.: UA",1451
"American Airlines Inc.: AA",2366
"SkyWest Airlines Inc.: OO",2366
