AirlineName,AirportName,Max(AverageDelay)
"Alaska Airlines Inc.: AS","Wrangell, AK: Wrangell Airport",62.5556
"Allegiant Air: G4","Ashland, WV: Tri-State/Milton J. Ferguson Field",91.6842
"American Airlines Inc.: AA","Bozeman, MT: Bozeman Yellowstone International",280.0000
"Delta Air Lines Inc.: DL","Appleton, WI: Appleton International",111.6667
"Endeavor Air Inc.: 9E","Gainesville, FL: Gainesville Regional",125.5000
"Envoy Air: MQ","Longview, TX: East Texas Regional",113.3077
"Frontier Airlines Inc.: F9","Omaha, NE: Eppley Airfield",110.8750
"Hawaiian Airlines Inc.: HA","Phoenix, AZ: Phoenix Sky Harbor International",429.2000
"Horizon Air: QX","Billings, MT: Billings Logan International",69.9412
"JetBlue Airways: B6","Aguadilla, PR: Rafael Hernandez",141.3793
"Mesa Airlines Inc.: YV","Tampa, FL: Tampa International",149.0000
"PSA Airlines Inc.: OH","Fort Myers, FL: Southwest Florida International",1130.0000
"Republic Airline: YX","Miami, FL: Miami International",335.5000
"SkyWest Airlines Inc.: OO","Raleigh/Durham, NC: Raleigh-Durham International",482.4000
"Southwest Airlines Co.: WN","West Palm Beach/Palm Beach, FL: Palm Beach International",47.6000
"Spirit Air Lines: NK","Akron, OH: Akron-Canton Regional",105.6522
"United Air Lines Inc.: UA","Hayden, CO: Yampa Valley",204.6667
