AirportName,CancelReason,max(CancelCount)
"Abilene, TX: Abilene Regional",Weather,1
"Aguadilla, PR: Rafael Hernandez",Carrier,8
"Akron, OH: Akron-Canton Regional",Weather,9
"Alamosa, CO: San Luis Valley Regional/Bergman Field",Weather,1
"Albany, NY: Albany International",Carrier,12
"Albuquerque, NM: Albuquerque International Sunport",Carrier,12
"Alexandria, LA: Alexandria International",Weather,2
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Carrier,4
"Amarillo, TX: Rick Husband Amarillo International",Carrier,8
"Anchorage, AK: Ted Stevens Anchorage International",Carrier,56
"Appleton, WI: Appleton International",Weather,2
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Carrier,1
"Asheville, NC: Asheville Regional",Carrier,7
"Ashland, WV: Tri-State/Milton J. Ferguson Field","National Air System",2
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,38
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Carrier,185
"Atlantic City, NJ: Atlantic City International",Weather,14
"Augusta, GA: Augusta Regional at Bush Field",Weather,3
"Austin, TX: Austin - Bergstrom International",Weather,86
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Carrier,66
"Bangor, ME: Bangor International",Carrier,5
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,3
"Beaumont/Port Arthur, TX: Jack Brooks Regional",Weather,2
"Belleville, IL: Scott AFB/MidAmerica",Carrier,2
"Bellingham, WA: Bellingham International",Weather,2
"Bemidji, MN: Bemidji Regional",Weather,4
"Bend/Redmond, OR: Roberts Field",Carrier,3
"Billings, MT: Billings Logan International",Weather,3
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,9
"Bismarck/Mandan, ND: Bismarck Municipal",Weather,36
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",Carrier,3
"Boise, ID: Boise Air Terminal",Carrier,22
"Boston, MA: Logan International",Carrier,315
"Bozeman, MT: Bozeman Yellowstone International",Carrier,4
"Brainerd, MN: Brainerd Lakes Regional",Weather,2
"Brownsville, TX: Brownsville South Padre Island International",Weather,2
"Buffalo, NY: Buffalo Niagara International",Carrier,34
"Burbank, CA: Bob Hope",Carrier,59
"Burlington, VT: Burlington International",Carrier,19
"Butte, MT: Bert Mooney",Weather,1
"Cape Girardeau, MO: Cape Girardeau Regional",Weather,3
"Casper, WY: Casper/Natrona County International",Weather,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa",Carrier,5
"Charleston, SC: Charleston AFB/International",Carrier,34
"Charleston/Dunbar, WV: Yeager",Weather,2
"Charlotte Amalie, VI: Cyril E King",Carrier,8
"Charlotte, NC: Charlotte Douglas International",Weather,87
"Charlottesville, VA: Charlottesville Albemarle",Weather,3
"Chattanooga, TN: Lovell Field",Weather,3
"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",Weather,1
"Chicago, IL: Chicago Midway International",Weather,36
"Chicago, IL: Chicago O'Hare International",Weather,207
"Christiansted, VI: Henry E. Rohlsen",Weather,1
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Carrier,28
"Clarksburg/Fairmont, WV: North Central West Virginia",Carrier,2
"Cleveland, OH: Cleveland-Hopkins International",Carrier,48
"Cody, WY: Yellowstone Regional",Weather,1
"College Station/Bryan, TX: Easterwood Field",Weather,1
"Colorado Springs, CO: City of Colorado Springs Municipal",Carrier,7
"Columbia, MO: Columbia Regional",Weather,1
"Columbia, SC: Columbia Metropolitan",Carrier,2
"Columbus, GA: Columbus Airport",Weather,1
"Columbus, OH: John Glenn Columbus International",Weather,44
"Columbus, OH: Rickenbacker International",Carrier,2
